NOMBRE PARQUE;ESPECIE;UNIDADES 2023;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Celtis australis;288;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Cedrus atlantica;249;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Otros;2393;;
;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus deodara;53;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Acer negundo;17;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Acer campestre;7;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Thuja occidentalis;7;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Prunus cerasifera  subsp. pissardii;6;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Populus alba 'Bolleana';5;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Betula utilis;2;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus atlantica 'Glauca';2;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Carpinus betulus;2;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Ligustrum japonicum;2;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Otros;13;;
;;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Platanus x hispanica;126;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Ligustrum japonicum;38;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus sempervirens;31;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Taxus baccata;28;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Magnolia grandiflora;9;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cedrus deodara;8;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus macrocarpa;6;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Pinus halepensis;1;;
;;;;
PARQUE LINEAL DEL MANZANARES;Populus nigra (Chopo negro);2516;;
PARQUE LINEAL DEL MANZANARES;Pinus pinea (Pino piñonero);2461;;
PARQUE LINEAL DEL MANZANARES;Celtis australis (Almez);2239;;
PARQUE LINEAL DEL MANZANARES;Fraxinus angustifolia (Fresno de la tierra);913;;
PARQUE LINEAL DEL MANZANARES;Platanus x hispanica (Platano de sombra);641;;
PARQUE LINEAL DEL MANZANARES;Olea europaea (Olivo);504;;
PARQUE LINEAL DEL MANZANARES;Ulmus sp;499;;
PARQUE LINEAL DEL MANZANARES;Cupressus sempervirens (Cipres comun);382;;
PARQUE LINEAL DEL MANZANARES;Pinus halepensis;278;;
PARQUE LINEAL DEL MANZANARES;Gleditsia triacanthos;244;;
PARQUE LINEAL DEL MANZANARES;Otros;2796;;
;;;;
JARDINES DE SABATINI;Cupressus sempervirens;85;;
JARDINES DE SABATINI;Pinus pinea;50;;
JARDINES DE SABATINI;Acer negundo;26;;
JARDINES DE SABATINI;Cedrus deodara;21;;
JARDINES DE SABATINI;Magnolia grandiflora;16;;
JARDINES DE SABATINI;Abies nordmanniana;8;;
JARDINES DE SABATINI;Thuja occidentalis;5;;
