route,seg_index,lat_a,lon_a,lat_b,lon_b,seg_len_m,start_node,end_node,classification,notes
A,119,40.420541,-3.690191,40.420466,-3.689999,18.3,25901898,9684664017,VERIFIED,continuous mapped footway/pedestrian way
A,120,40.420466,-3.689999,40.420268,-3.689487,48.5,9684664017,26485809,VERIFIED,"controlled crossing at node 26485809 (crossing=uncontrolled, markings=zebra, signals=None)"
A,121,40.420268,-3.689487,40.420252,-3.689449,3.7,26485809,4140937593,VERIFIED,"controlled crossing at node 4140937593 (crossing=uncontrolled, markings=zebra, signals=None)"
A,122,40.420252,-3.689449,40.420212,-3.689348,9.7,4140937593,13930993134,VERIFIED,continuous mapped footway/pedestrian way
A,123,40.420212,-3.689348,40.420183,-3.689267,7.5,13930993134,26485808,VERIFIED,continuous mapped footway/pedestrian way
A,124,40.420183,-3.689267,40.420156,-3.689169,8.9,26485808,2615463410,VERIFIED,continuous mapped footway/pedestrian way
A,125,40.420156,-3.689169,40.419987,-3.688724,42.1,2615463410,OD,VERIFIED WITH UNCERTAINTY,O-D endpoint access snap (station concourse / monument island)
B,0,40.404557,-3.688683,40.403994,-3.689463,91.0,OD,31009976,VERIFIED WITH UNCERTAINTY,O-D endpoint access snap (station concourse / monument island)
B,1,40.403994,-3.689463,40.403972,-3.689463,2.5,31009976,13983688068,VERIFIED,continuous mapped footway/pedestrian way
B,2,40.403972,-3.689463,40.403956,-3.689465,1.7,13983688068,13983688069,VERIFIED,continuous mapped footway/pedestrian way
B,3,40.403956,-3.689465,40.403944,-3.689471,1.5,13983688069,13983688066,VERIFIED,continuous mapped footway/pedestrian way
B,4,40.403944,-3.689471,40.403933,-3.689483,1.6,13983688066,13983688065,VERIFIED,continuous mapped footway/pedestrian way
B,5,40.403933,-3.689483,40.403927,-3.689496,1.3,13983688065,13983688064,VERIFIED,continuous mapped footway/pedestrian way
B,6,40.403927,-3.689496,40.403923,-3.689513,1.5,13983688064,13983688063,VERIFIED,continuous mapped footway/pedestrian way
B,7,40.403923,-3.689513,40.403922,-3.689528,1.2,13983688063,13983688062,VERIFIED,continuous mapped footway/pedestrian way
B,8,40.403922,-3.689528,40.403923,-3.689548,1.7,13983688062,4237299411,VERIFIED,"controlled crossing at node 4237299411 (crossing=uncontrolled, markings=zebra, signals=None)"
B,9,40.403923,-3.689548,40.403955,-3.689574,4.2,4237299411,13983688060,VERIFIED,continuous mapped footway/pedestrian way
B,10,40.403955,-3.689574,40.403981,-3.6896,3.7,13983688060,14028809938,VERIFIED,continuous mapped footway/pedestrian way
B,11,40.403981,-3.6896,40.404026,-3.689616,5.2,14028809938,14028809939,VERIFIED,continuous mapped footway/pedestrian way
B,12,40.404026,-3.689616,40.404782,-3.690469,110.8,14028809939,14028809933,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 111 m straight OSM edge, exact walked line approximate"
B,13,40.404782,-3.690469,40.404814,-3.690421,5.4,14028809933,6177136010,VERIFIED,continuous mapped footway/pedestrian way
B,14,40.404814,-3.690421,40.404837,-3.69038,4.3,6177136010,6177136007,VERIFIED,"controlled crossing at node 6177136007 (crossing=traffic_signals, markings=dots, signals=None)"
B,15,40.404837,-3.69038,40.404854,-3.690353,3.0,6177136007,4471097877,VERIFIED,continuous mapped footway/pedestrian way
B,16,40.404854,-3.690353,40.404874,-3.690321,3.5,4471097877,14028874883,VERIFIED,continuous mapped footway/pedestrian way
B,17,40.404874,-3.690321,40.405554,-3.691065,98.3,14028874883,4471097876,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 98 m straight OSM edge, exact walked line approximate"
B,18,40.405554,-3.691065,40.405619,-3.691133,9.3,4471097876,8540648584,VERIFIED,continuous mapped footway/pedestrian way
B,19,40.405619,-3.691133,40.406144,-3.691685,74.7,8540648584,6177135999,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 75 m straight OSM edge, exact walked line approximate"
B,20,40.406144,-3.691685,40.406201,-3.691747,8.2,6177135999,4471097875,VERIFIED,continuous mapped footway/pedestrian way
B,21,40.406201,-3.691747,40.406206,-3.691738,0.9,4471097875,10909273751,VERIFIED,continuous mapped footway/pedestrian way
B,22,40.406206,-3.691738,40.406278,-3.691629,12.2,10909273751,4471098592,VERIFIED,continuous mapped footway/pedestrian way
B,23,40.406278,-3.691629,40.406319,-3.691565,7.1,4471098592,4471098591,VERIFIED,continuous mapped footway/pedestrian way
B,24,40.406319,-3.691565,40.406357,-3.691526,5.3,4471098591,4471098590,VERIFIED,continuous mapped footway/pedestrian way
B,25,40.406357,-3.691526,40.406213,-3.691349,21.9,4471098590,6244878957,VERIFIED,continuous mapped footway/pedestrian way
B,26,40.406213,-3.691349,40.406233,-3.691296,5.0,6244878957,6244878958,VERIFIED,continuous mapped footway/pedestrian way
B,27,40.406233,-3.691296,40.406188,-3.691253,6.2,6244878958,6244878956,VERIFIED,continuous mapped footway/pedestrian way
B,28,40.406188,-3.691253,40.40632,-3.69095,29.5,6244878956,7326916750,VERIFIED,continuous mapped footway/pedestrian way
B,29,40.40632,-3.69095,40.406399,-3.690768,17.7,7326916750,4775943425,VERIFIED,continuous mapped footway/pedestrian way
B,30,40.406399,-3.690768,40.406521,-3.690489,27.3,4775943425,6244878969,VERIFIED,continuous mapped footway/pedestrian way
B,31,40.406521,-3.690489,40.406623,-3.690241,23.8,6244878969,7968305184,VERIFIED,continuous mapped footway/pedestrian way
B,32,40.406623,-3.690241,40.406638,-3.690205,3.5,7968305184,4775943424,VERIFIED,continuous mapped footway/pedestrian way
B,33,40.406638,-3.690205,40.406702,-3.690045,15.3,4775943424,4775943423,VERIFIED,continuous mapped footway/pedestrian way
B,34,40.406702,-3.690045,40.406852,-3.689823,25.2,4775943423,4775943422,VERIFIED,continuous mapped footway/pedestrian way
B,35,40.406852,-3.689823,40.406939,-3.689763,10.9,4775943422,2667468806,VERIFIED,continuous mapped footway/pedestrian way
B,36,40.406939,-3.689763,40.407003,-3.689765,7.1,2667468806,7683219054,VERIFIED,continuous mapped footway/pedestrian way
B,37,40.407003,-3.689765,40.407069,-3.689786,7.6,7683219054,5242464897,VERIFIED,continuous mapped footway/pedestrian way
B,38,40.407069,-3.689786,40.4071,-3.689754,4.4,5242464897,13103334099,VERIFIED,continuous mapped footway/pedestrian way
B,39,40.4071,-3.689754,40.407174,-3.689652,11.9,13103334099,2046029960,VERIFIED,"controlled crossing at node 2046029960 (crossing=traffic_signals, markings=dots, signals=None)"
B,40,40.407174,-3.689652,40.40725,-3.689551,12.0,2046029960,13103334098,VERIFIED,continuous mapped footway/pedestrian way
B,41,40.40725,-3.689551,40.407395,-3.689479,17.3,13103334098,13103334097,VERIFIED,continuous mapped footway/pedestrian way
B,42,40.407395,-3.689479,40.407449,-3.689414,8.1,13103334097,2046029864,VERIFIED,"controlled crossing at node 2046029864 (crossing=traffic_signals, markings=dots, signals=None)"
