scenario,asset_id,name,timestamp,tmrt_mean_10m,utci_mean_10m,utci_category,feasibility_this_scenario,feasibility_phase2_baseline,feasibility_phase1_proxy,utci_delta_vs_baseline,decision_changed_vs_phase2_baseline
REAL_SATELLITE,A27,Jardines del Arquitecto Herrero Palacios,18:00,49.7,42.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.2,False
SENS_A_minus10pct,A14,Puerta de Alcalá,12:00,49.6,36.6,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.2,False
SENS_A_minus10pct,A15,Fuente de Cibeles,12:00,59.2,38.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-1.1,False
SENS_A_minus10pct,A16,Fuente de Neptuno,12:00,63.1,39.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.9,False
SENS_A_minus10pct,A17,Estatua de Goya,12:00,38.4,33.9,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,0.0,False
SENS_A_minus10pct,A18,Palacio de Cibeles - Ayuntamiento de Madrid,12:00,58.1,38.6,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-0.5,False
SENS_A_minus10pct,A19,Real Observatorio de Madrid,12:00,37.8,33.8,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.2,False
SENS_A_minus10pct,A20,Parque del Retiro,12:00,37.3,33.7,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,0.0,False
SENS_A_minus10pct,A21,Real Jardín Botánico de Madrid,12:00,32.6,32.5,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,0.1,False
SENS_A_minus10pct,A22,Palacio de Cristal,12:00,49.7,36.6,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-0.2,False
SENS_A_minus10pct,A23,Jardines de Cecilio Rodríguez,12:00,58.8,38.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-0.6,False
